"PolicyNo","Policy_Company","Policy_Installment_Term","Policy_Billing_Code","Policy_Method_Of_Payment","Policy_Reinstatement_Fee_Indicator","Policy_Zip_Code_Garaging_Location","Vehicle_Territory","Vehicle_Make_Year","Vehicle_Make_Description","Vehicle_Performance","Vehicle_New_Cost_Amount","Vehicle_Symbol","Vehicle_Number_Of_Drivers_Assigned","Vehicle_Usage","Vehicle_Miles_To_Work","Vehicle_Days_Per_Week_Driven","Vehicle_Annual_Miles","Vehicle_Anti_Theft_Device","Vehicle_Passive_Restraint","Vehicle_Age_In_Years","Vehicle_Med_Pay_Limit","Vehicle_Bodily_Injury_Limit","Vehicle_Physical_Damage_Limit","Vehicle_Comprehensive_Coverage_Indicator","Vehicle_Comprehensive_Coverage_Limit","Vehicle_Collision_Coverage_Indicator","Vehicle_Collision_Coverage_Deductible","Driver_Total","Driver_Total_Male","Driver_Total_Female","Driver_Total_Single","Driver_Total_Married","Driver_Total_Related_To_Insured_Self","Driver_Total_Related_To_Insured_Spouse","Driver_Total_Related_To_Insured_Child","Driver_Total_Licensed_In_State","Driver_Minimum_Age","Driver_Maximum_Age","Driver_Total_Teenager_Age_15_19","Driver_Total_College_Ages_20_23","Driver_Total_Young_Adult_Ages_24_29","Driver_Total_Low_Middle_Adult_Ages_30_39","Driver_Total_Middle_Adult_Ages_40_49","Driver_Total_Adult_Ages_50_64","Driver_Total_Senior_Ages_65_69","Driver_Total_Upper_Senior_Ages_70_plus","Vehicle_Youthful_Driver_Indicator","Vehicle_Youthful_Driver_Training_Code","Vehicle_Youthful_Good_Student_Code","Vehicle_Driver_Points","Vehicle_Safe_Driver_Discount_Indicator","EEA_Liability_Coverage_Only_Indicator","EEA_Multi_Auto_Policies_Indicator","EEA_Policy_Zip_Code_3","EEA_Policy_Tenure","EEA_Agency_Type","EEA_Packaged_Policy_Indicator","EEA_Full_Coverage_Indicator","EEA_Prior_Bodily_Injury_Limit","EEA_PolicyYear","SYS_Renewed","SYS_New_Business","Annual_Premium","Claim_Count","Loss_Amount","Frequency","Severity","Loss_Ratio"
"166883039","Standard ","6","Direct Billed to Insured","Pre-paid","N","Unknown","31","1985","OLDS DLTA 88 BR  ","Standard","-1","7","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","50-100 ","35000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","87","87","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","Unknown","43.5","Preferred","N","N","40-100 ","2006","N","N","132.69","0","0.0","0.0","0.0","0.0"
"167086334","Standard ","6","Direct Billed to Insured","Pre-paid","N","42995","30","1990","FORD BRONCO      ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","-1","50-100 ","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","66","66","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","429","16.5","Standard","N","N","40-100 ","2006","Y","N","115.54","0","0.0","0.0","0.0","0.0"
"167097040","Standard ","6","Direct Billed to Insured","Pre-paid","N","43081","22","1999","FORD CWN VIC LX  ","Standard","-1","8","1","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","2000","250-500","100000","N","-1","Y","500","1","0","1","0","0","1","0","0","1","79","79","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","430","44.0","Standard","N","Y","100-400","2006","Y","N","260.76","0","0.0","0.0","0.0","0.0"
"167754232","Standard ","6","Direct Billed to Insured","Pre-paid","N","42559","30","1989","LINC TOWN CAR    ","Standard","-1","12","1","Work    ","10","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","64","64","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","16.0","Hybrid","Y","N","100-200","2006","Y","N","208.82","0","0.0","0.0","0.0","0.0"
"167965636","Standard ","6","Direct Billed to Insured","Installment","N","43025","35","2004","CHRY CONCORDE L  ","Intermediate","-1","16","1","Work    ","12","5","Unknown","Alarm Only","Y","3","1000","100-300","50000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","37","37","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","15.7","Hybrid","Y","Y","100-200","2006","Y","N","594.66","0","0.0","0.0","0.0","0.0"
"168075134","Standard ","6","Direct Billed to Insured","Installment","Y","42887","35","2003","FORD F250 SPDTY  ","Standard","-1","17","1","Work    ","2","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","1000","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","55","55","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.4","Preferred","Y","Y","100-200","2006","Y","N","527.88","0","0.0","0.0","0.0","0.0"
"168167332","Standard ","6","Direct Billed to Insured","Pre-paid","N","42922","35","1990","CHEV PICKUP1500  ","Standard","-1","6","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","72","72","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","429","16.0","Hybrid","N","N","20-50","2006","Y","N","133.56","0","0.0","0.0","0.0","0.0"
"168422132","Standard ","6","Direct Billed to Insured","Pre-paid","N","43166","30","1989","CHEV S10 BLAZER  ","Standard","-1","11","1","Work    ","3","5","Unknown","Not Applicable","N","9","5000","50-100 ","50000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","431","16.0","Preferred","N","N","40-100 ","2006","Y","N","153.7","0","0.0","0.0","0.0","0.0"
"168437233","Standard ","6","Direct Billed to Insured","Installment","N","43081","27","1995","DODG RAM PU1500  ","Standard","-1","11","1","Work    ","10","5","Unknown","Passive Disabling-Vehicle Recovery","Y","9","1000","25-50  ","25000","N","-1","N","-1","1","0","1","1","0","1","0","0","1","40","40","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","430","16.1","Standard","N","N","20-50","2006","Y","N","140.98","0","0.0","0.0","0.0","0.0"
"168501032","Standard ","6","Direct Billed to Insured","Installment","N","42477","35","2001","HUYNDAI SANTA FE ","Standard","-1","11","1","Work    ","4","5","Unknown","Alarm Only","Y","6","1000","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","47","47","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","16.0","Standard","Y","Y","100-200","2006","Y","N","397.5","0","0.0","0.0","0.0","0.0"
"168554032","Preferred","6","Direct Billed to Insured","Pre-paid","N","43369","31","1989","FORD F150-S      ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","-1","50-100 ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","65","65","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","433","16.0","Non-standard","N","N","40-100 ","2006","Y","N","154.76","0","0.0","0.0","0.0","0.0"
"168704833","Standard ","6","Direct Billed to Insured","Installment","N","43374","31","2002","FORD ESCAPE XLT  ","Intermediate","-1","8","99","Work    ","4","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","5000","100-300","100000","N","-1","Y","500","1","1","0","1","0","1","0","0","1","37","37","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","N","433","16.5","Non-standard","N","Y","100-200","2006","Y","N","466.4","2","906.92","4.0","453.46","1.94"
"168854432","Standard ","6","Direct Billed to Insured","Installment","N","42459","35","2002","TYTA TMAPRELTSR  ","Standard","-1","12","99","Work    ","7","5","Unknown","Not Applicable","Y","5","-1","100-300","50000","N","-1","Y","1000","1","1","0","1","0","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","16.0","Preferred","Y","Y","100-200","2006","Y","N","375.24","0","0.0","0.0","0.0","0.0"
"169448831","Standard ","6","Direct Billed to Insured","Installment","N","43861","31","1995","DODG DAKOTA      ","Standard","-1","7","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","5000","","-1","Y","75000","N","-1","2","1","1","0","2","1","1","0","2","53","54","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","15.5","Standard","Y","Y","","2006","Y","N","133.56","0","0.0","0.0","0.0","0.0"
"169522039","Standard ","6","Direct Billed to Insured","Pre-paid","N","Unknown","30","1973","BUICK      4-DOOR","Standard","-1","6","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","100-300","50000","N","-1","Y","50","1","0","1","0","0","1","0","0","1","85","85","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","Unknown","41.1","Standard","Y","Y","100-200","2006","N","N","222.6","0","0.0","0.0","0.0","0.0"
"169593935","Standard ","6","Direct Billed to Insured","Installment","Y","42420","37","2006","HOND CR-V LX     ","Standard","-1","11","1","Work    ","5","5","Unknown","Alarm Only","Y","2","1000","50-100 ","50000","N","-1","Y","500","1","0","1","1","0","1","0","0","1","32","32","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","424","16.3","Standard","N","Y","40-100 ","2006","Y","N","496.08","0","0.0","0.0","0.0","0.0"
"169923432","Standard ","6","Direct Billed to Insured","Pre-paid","N","42781","31","1996","FORD TAURUS GL   ","Standard","-1","5","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","-1","50-100 ","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","80","80","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","427","16.0","Preferred","N","N","40-100 ","2006","Y","N","115.54","0","0.0","0.0","0.0","0.0"
"169979532","Standard ","6","Direct Billed to Insured","Pre-paid","N","42525","35","2006","FORD F-250 SUPE  ","Standard","-1","14","1","Pleasure","-1","5","Unknown","Alarm Only","Y","1","1000","100-300","50000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","68","68","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","16.0","Non-standard","Y","Y","100-200","2006","Y","N","595.72","0","0.0","0.0","0.0","0.0"
"170006331","Standard ","6","Direct Billed to Insured","Pre-paid","N","42461","35","2003","CHEV TRAILBLZR   ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Alarm Only","Y","4","50000","250-500","100000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","77","77","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","15.5","Non-standard","Y","Y","100-400","2006","Y","N","446.26","0","0.0","0.0","0.0","0.0"
"170196532","Standard ","6","Direct Billed to Insured","Pre-paid","N","42549","31","1990","CHEV C20  VAN    ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","83","83","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","16.0","Hybrid","Y","Y","20-50","2006","Y","N","271.36","0","0.0","0.0","0.0","0.0"
"170380731","Standard ","6","Direct Billed to Insured","Pre-paid","N","42798","31","1997","FORD EXPLORER    ","Standard","-1","6","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","50-100 ","35000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","60","60","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","427","15.5","Standard","Y","Y","40-100 ","2006","Y","N","309.52","0","0.0","0.0","0.0","0.0"
"170382535","Standard ","6","Direct Billed to Insured","Installment","Y","42455","35","1998","FORD TAURSLX-SE  ","Standard","-1","6","1","Work    ","10","5","Unknown","Alarm Only","Y","9","1000","100-300","50000","N","-1","N","-1","1","0","1","0","1","1","0","0","1","49","49","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","424","16.0","Non-standard","N","N","100-200","2006","N","N","112.66","0","0.0","0.0","0.0","0.0"
"170468432","Standard ","6","Direct Billed to Insured","Installment","N","42856","35","2001","CHEV IMPALA      ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","5000","100-300","100000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","59","59","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.0","Preferred","Y","Y","100-200","2006","Y","N","357.22","0","0.0","0.0","0.0","0.0"
"170518232","Standard ","6","Direct Billed to Insured","Installment","N","42816","31","1982","MERC GR MARQUIS  ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","75","75","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.0","Standard","N","Y","20-50","2006","N","N","178.81","0","0.0","0.0","0.0","0.0"
"170590332","Standard ","6","Direct Billed to Insured","Pre-paid","N","43005","30","1996","BUIK ROADMASTER  ","Standard","-1","12","1","Farm    ","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","100","1","1","0","0","1","0","1","0","1","71","71","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","16.0","Preferred","Y","Y","20-50","2006","Y","N","363.58","0","0.0","0.0","0.0","0.0"
"170729932","Standard ","6","Direct Billed to Insured","Pre-paid","N","42639","30","1990","LINC TOWNCAR SI  ","Standard","-1","11","1","Work    ","13","5","Unknown","Not Applicable","N","9","5000","100-300","35000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","59","59","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","426","16.0","Hybrid","Y","Y","100-200","2006","Y","N","343.44","0","0.0","0.0","0.0","0.0"
"170854531","Standard ","6","Direct Billed to Insured","Pre-paid","N","42878","35","2002","FORD ESCAPE XLT  ","Standard","-1","10","1","Farm    ","-1","5","Unknown","Alarm Only","Y","5","1000","50-100 ","50000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","49","49","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","15.5","Standard","Y","Y","40-100 ","2006","Y","N","279.84","0","0.0","0.0","0.0","0.0"
"170882032","Standard ","6","Direct Billed to Insured","Pre-paid","N","42855","30","1994","TYTA CAMRY       ","Standard","-1","8","1","Work    ","13","5","Unknown","Not Applicable","Y","9","1000","100-300","50000","N","-1","Y","1000","1","0","1","0","1","0","1","0","1","35","35","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.0","Preferred","Y","Y","100-200","2006","Y","N","267.12","0","0.0","0.0","0.0","0.0"
"170885531","Standard ","6","Direct Billed to Insured","Pre-paid","N","43888","31","1988","GMC  SIERRA1500  ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","5000","25-50  ","25000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","46","46","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","438","15.5","Standard","N","N","20-50","2006","Y","N","122.96","0","0.0","0.0","0.0","0.0"
"170893031","Preferred","6","Direct Billed to Insured","Pre-paid","N","43864","31","1988","DODG DAKOTA      ","Standard","-1","7","1","Work    ","10","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","Y","500","1","0","1","0","0","1","0","0","1","69","69","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","438","15.5","Standard","Y","Y","20-50","2006","Y","N","356.16","0","0.0","0.0","0.0","0.0"
"170967233","Standard ","6","Direct Billed to Insured","Pre-paid","N","42812","31","1990","FORD F150-S      ","Standard","-1","5","1","Work    ","5","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","1","0","1","0","0","1","59","59","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","428","16.1","Standard","N","N","20-50","2006","Y","N","133.56","0","0.0","0.0","0.0","0.0"
"170979432","Standard ","6","Direct Billed to Insured","Pre-paid","N","42803","31","2003","FORD EXPDTN XLT  ","Standard","-1","13","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","1000","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","40","40","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.0","Hybrid","Y","Y","20-50","2006","Y","N","383.72","0","0.0","0.0","0.0","0.0"
"171005541","Standard ","6","Direct Billed to Insured","Installment","N","44119","31","1988","GMC  JIMMY S-15  ","Standard","-1","10","1","Work    ","15","5","Unknown","Not Applicable","N","9","10000","50-100 ","50000","N","-1","N","-1","1","1","0","1","0","0","0","1","1","53","53","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","441","40.8","Preferred","Y","N","40-100 ","2006","Y","N","187.62","0","0.0","0.0","0.0","0.0"
"171117235","Standard ","6","Direct Billed to Insured","Installment","N","43865","31","1982","CHEV CHEVETTE    ","Standard","-1","6","1","Work    ","14","5","Unknown","Not Applicable","N","9","5000","50-100 ","35000","N","-1","N","-1","1","0","1","0","1","1","0","0","1","48","48","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","Y","Y","438","16.2","Standard","N","N","40-100 ","2006","Y","N","168.54","0","0.0","0.0","0.0","0.0"
"171198128","Standard ","6","Direct Billed to Insured","Installment","N","43908","31","1999","FORD TAURSSE-SP  ","Standard","-1","10","1","Work    ","6","5","Unknown","Alarm Only","Y","8","5000","100-300","100000","N","-1","Y","500","1","0","1","0","0","1","0","0","1","51","51","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","439","15.4","Non-standard","Y","Y","100-200","2006","Y","N","392.2","0","0.0","0.0","0.0","0.0"
